Segment,Category,Sub-Category,City,Order Date,Postal Code,Region,Ship Status,State,Profit,Quantity,Sales
Corporate,Office Supplies,Folders,Columbus,5-May-21,31907,Southern,Early Delivery,Georgia,5,5,81
Corporate,Office Supplies,Folders,Columbus,22-Nov-18,31907,Southern,Early Delivery,Georgia,29,5,11
Home Office,Office Supplies,Folders,Columbus,25-May-21,31907,Southern,Early Delivery,Georgia,1,5,12
Home Office,Office Supplies,Folders,Columbus,12-Jun-21,31907,Southern,Late Delivery,Georgia,26,5,79
Corporate,Office Supplies,Kitchen Appliances,Columbus,8-Mar-21,31907,Southern,Late Delivery,Georgia,4,2,16
Consumer,Office Supplies,Kitchen Appliances,Columbus,21-Sep-21,31907,Southern,Early Delivery,Georgia,50,2,12
Corporate,Office Supplies,Kitchen Appliances,Columbus,10-Jul-21,31907,Southern,Early Delivery,Georgia,22,2,36
Corporate,Office Supplies,Kitchen Appliances,Columbus,22-Nov-18,31907,Southern,Early Delivery,Georgia,17,2,17
Corporate,Office Supplies,Label Maker Tape,Columbus,8-Mar-21,31907,Southern,Late Delivery,Georgia,34,1,23
Corporate,Office Supplies,Label Maker Tape,Columbus,13-Jan-19,31907,Southern,Early Delivery,Georgia,7,2,26
Consumer,Technology,Phone and Fax,Columbus,3-Jul-21,31907,Southern,Early Delivery,Georgia,305,2,49
Consumer,Technology,Phone and Fax,Columbus,25-Jan-21,31907,Southern,Early Delivery,Georgia,8,2,26
Corporate,Technology,Phone and Fax,Columbus,18-Sep-21,31907,Southern,Early Delivery,Georgia,15,3,88
Corporate,Technology,Phone and Fax,Columbus,20-Apr-19,31907,Southern,Early Delivery,Georgia,21,3,721
Corporate,Technology,Phone and Fax,Columbus,18-Sep-21,31907,Southern,Early Delivery,Georgia,135,3,726
Consumer,Technology,Printers,Columbus,16-Sep-20,31907,Southern,On Schedule,Georgia,3,2,94
Consumer,Office Supplies,Printing Paper,Columbus,11-Dec-20,31907,Southern,On Schedule,Georgia,8,7,54
Consumer,Office Supplies,Printing Paper,Columbus,6-Nov-18,31907,Southern,Early Delivery,Georgia,11,9,205
Corporate,Office Supplies,Printing Paper,Columbus,20-Apr-19,31907,Southern,Early Delivery,Georgia,21,1,16
Corporate,Office Supplies,Printing Paper,Columbus,18-Sep-21,31907,Southern,Early Delivery,Georgia,5,1,15
Corporate,Office Supplies,Printing Paper,Columbus,18-Sep-21,31907,Southern,Early Delivery,Georgia,13,1,73
Corporate,Office Supplies,Printing Paper,Columbus,18-Sep-21,31907,Southern,Early Delivery,Georgia,11,1,16
Home Office,Office Supplies,Printing Paper,Columbus,24-May-20,31907,Southern,Early Delivery,Georgia,25,2,19
Home Office,Office Supplies,Printing Paper,Columbus,11-Sep-21,31907,Southern,Early Delivery,Georgia,23,2,52
Home Office,Office Furniture,Standard Desks,Columbus,2-Apr-21,31907,Southern,Late Delivery,Georgia,16,1,61
Home Office,Office Furniture,Standard Desks,Columbus,12-Jun-21,31907,Southern,Late Delivery,Georgia,60,3,46
Consumer,Office Supplies,Stationary Supplies,Columbus,18-Sep-20,31907,Southern,Early Delivery,Georgia,3,3,159
Corporate,Office Supplies,Stationary Supplies,Columbus,18-Sep-21,31907,Southern,Early Delivery,Georgia,6,3,8188
Consumer,Office Supplies,Storage and Archive,Columbus,24-Sep-21,31907,Southern,Late Delivery,Georgia,2,3,541
Consumer,Office Supplies,Storage and Archive,Columbus,22-Sep-20,31907,Southern,Late Delivery,Georgia,3,3,17
Consumer,Office Supplies,Storage and Archive,Columbus,22-Apr-21,31907,Southern,Early Delivery,Georgia,81,3,21
Corporate,Office Supplies,Storage and Archive,Columbus,19-Aug-18,31907,Southern,Early Delivery,Georgia,16,3,90
Home Office,Office Supplies,Storage and Archive,Columbus,30-Mar-21,31907,Southern,Early Delivery,Georgia,24,3,213
Home Office,Office Supplies,Storage and Archive,Columbus,10-Mar-20,31907,Southern,Early Delivery,Georgia,10,4,354
Home Office,Office Supplies,Storage and Archive,Columbus,24-May-20,31907,Southern,Early Delivery,Georgia,71,4,88
Consumer,Office Furniture,Storage Cabinets,Columbus,7-Apr-20,31907,Southern,Late Delivery,Georgia,6,1,110
Consumer,Office Supplies,Artwork and Statues,Daytona Beach,26-Apr-19,32114,Southern,Early Delivery,Florida,36,3,448
Consumer,Technology,Cables and Connectors,Daytona Beach,21-Dec-19,32114,Southern,On Schedule,Florida,7,2,57
Consumer,Office Supplies,Envelopes,Daytona Beach,21-Dec-19,32114,Southern,On Schedule,Florida,13,4,28
Consumer,Office Furniture,Standard Desks,Daytona Beach,26-Apr-19,32114,Southern,Early Delivery,Florida,22,8,48
Consumer,Office Supplies,Envelopes,Port Orange,22-Dec-21,32127,Southern,Early Delivery,Florida,-2,13,43
Corporate,Office Furniture,Corner Desks,Palm Coast,5-Jul-18,32137,Southern,Late Delivery,Florida,11,9,237
Corporate,Office Furniture,Corner Desks,Palm Coast,5-Jul-18,32137,Southern,Late Delivery,Florida,-11,2,154
Consumer,Office Supplies,Envelopes,Palm Coast,3-Sep-21,32137,Southern,Early Delivery,Florida,5,9,423
Corporate,Office Supplies,Folders,Palm Coast,5-Jul-18,32137,Southern,Late Delivery,Florida,4,2,12
Corporate,Office Supplies,Folders,Palm Coast,27-Nov-20,32137,Southern,Early Delivery,Florida,9,3,6
Consumer,Office Supplies,Folders,Ormond Beach,6-Jan-21,32174,Southern,On Schedule,Florida,10,2,1017
Corporate,Office Supplies,Artwork and Statues,Jacksonville,5-Jan-20,32216,Southern,Early Delivery,Florida,12,1,13
Consumer,Office Supplies,Artwork and Statues,Jacksonville,20-Oct-21,32216,Southern,On Schedule,Florida,-55,5,1
Consumer,Office Supplies,Artwork and Statues,Jacksonville,30-Dec-20,32216,Southern,On Schedule,Florida,-59,3,7
Corporate,Office Supplies,Artwork and Statues,Jacksonville,11-Dec-21,32216,Southern,On Schedule,Florida,2,5,15
Corporate,Office Supplies,Artwork and Statues,Jacksonville,20-Sep-18,32216,Southern,Early Delivery,Florida,0,3,47
Corporate,Office Supplies,Artwork and Statues,Jacksonville,13-May-20,32216,Southern,Early Delivery,Florida,5,2,15
Home Office,Office Supplies,Artwork and Statues,Jacksonville,7-Apr-21,32216,Southern,Early Delivery,Florida,8,5,488
Home Office,Office Supplies,Artwork and Statues,Jacksonville,18-Mar-18,32216,Southern,Early Delivery,Florida,41,2,93
Consumer,Technology,Cables and Connectors,Jacksonville,19-Dec-18,32216,Southern,On Schedule,Florida,6,2,9
Corporate,Technology,Cables and Connectors,Jacksonville,5-Jan-20,32216,Southern,Early Delivery,Florida,9,3,277
Consumer,Technology,Cables and Connectors,Jacksonville,3-Dec-21,32216,Southern,Early Delivery,Florida,74,5,14
Corporate,Technology,Cables and Connectors,Jacksonville,18-Sep-19,32216,Southern,Late Delivery,Florida,1,3,37
Home Office,Technology,Cables and Connectors,Jacksonville,16-May-19,32216,Southern,On Schedule,Florida,3,7,84
Home Office,Technology,Cables and Connectors,Jacksonville,9-Nov-21,32216,Southern,Early Delivery,Florida,27,1,12
Home Office,Office Furniture,Computer Chairs,Jacksonville,29-Mar-19,32216,Southern,Early Delivery,Florida,121,7,10
Consumer,Office Furniture,Computer Chairs,Jacksonville,1-May-21,32216,Southern,Early Delivery,Florida,28,2,5
Corporate,Office Furniture,Computer Chairs,Jacksonville,5-Nov-20,32216,Southern,Late Delivery,Florida,2,2,11
Corporate,Office Furniture,Computer Chairs,Jacksonville,1-Apr-21,32216,Southern,On Schedule,Florida,0,2,9
Corporate,Office Furniture,Computer Chairs,Jacksonville,11-Dec-21,32216,Southern,On Schedule,Florida,16,2,17
Consumer,Office Furniture,Corner Desks,Jacksonville,11-Sep-21,32216,Southern,On Schedule,Florida,298,1,13
Consumer,Office Furniture,Corner Desks,Jacksonville,20-Oct-21,32216,Southern,On Schedule,Florida,8,3,15
Consumer,Office Furniture,Corner Desks,Jacksonville,27-Jul-21,32216,Southern,Late Delivery,Florida,5,3,13
Corporate,Office Furniture,Corner Desks,Jacksonville,5-Nov-20,32216,Southern,Late Delivery,Florida,8,9,98
Corporate,Office Furniture,Corner Desks,Jacksonville,10-Apr-21,32216,Southern,Late Delivery,Florida,2,2,28
Corporate,Office Furniture,Corner Desks,Jacksonville,13-May-20,32216,Southern,Early Delivery,Florida,3,2,273
Home Office,Office Furniture,Corner Desks,Jacksonville,18-Mar-18,32216,Southern,Early Delivery,Florida,23,5,29
Home Office,Office Furniture,Corner Desks,Jacksonville,18-Mar-18,32216,Southern,Early Delivery,Florida,12,5,53
Home Office,Office Supplies,Envelopes,Jacksonville,18-Mar-18,32216,Southern,Early Delivery,Florida,32,1,121
Consumer,Office Supplies,Folders,Jacksonville,19-Dec-18,32216,Southern,On Schedule,Florida,5,1,55
Consumer,Office Supplies,Folders,Jacksonville,9-Apr-21,32216,Southern,Late Delivery,Florida,12,1,17
Consumer,Office Supplies,Folders,Jacksonville,6-Jun-18,32216,Southern,On Schedule,Florida,3,2,18
Consumer,Office Supplies,Folders,Jacksonville,11-Dec-19,32216,Southern,Early Delivery,Florida,4,2,36
Corporate,Office Supplies,Folders,Jacksonville,10-Apr-21,32216,Southern,Late Delivery,Florida,34,2,239
Corporate,Office Supplies,Folders,Jacksonville,16-Dec-18,32216,Southern,Early Delivery,Florida,31,3,42
Corporate,Office Supplies,Folders,Jacksonville,13-May-20,32216,Southern,Early Delivery,Florida,9,3,12
Corporate,Office Supplies,Folders,Jacksonville,13-May-20,32216,Southern,Early Delivery,Florida,80,3,155
Corporate,Office Supplies,Folders,Jacksonville,13-May-20,32216,Southern,Early Delivery,Florida,9,3,25
Corporate,Office Supplies,Folders,Jacksonville,28-Mar-21,32216,Southern,Early Delivery,Florida,13,3,44
Corporate,Office Supplies,Kitchen Appliances,Jacksonville,1-Apr-21,32216,Southern,On Schedule,Florida,24,1,26
Consumer,Office Supplies,Label Maker Tape,Jacksonville,9-Apr-21,32216,Southern,Late Delivery,Florida,4,4,13
Consumer,Office Supplies,Label Maker Tape,Jacksonville,17-Sep-20,32216,Southern,Early Delivery,Florida,56,5,93
Corporate,Office Supplies,Label Maker Tape,Jacksonville,1-Apr-21,32216,Southern,On Schedule,Florida,50,6,13
Corporate,Office Supplies,Label Maker Tape,Jacksonville,9-Aug-19,32216,Southern,Early Delivery,Florida,15,7,18
Corporate,Technology,Phone and Fax,Jacksonville,5-Jan-20,32216,Southern,Early Delivery,Florida,10,5,25
Consumer,Technology,Phone and Fax,Jacksonville,7-Jul-20,32216,Southern,On Schedule,Florida,8,6,16
Consumer,Technology,Phone and Fax,Jacksonville,23-Oct-21,32216,Southern,Early Delivery,Florida,34,7,27
Corporate,Technology,Phone and Fax,Jacksonville,1-Apr-21,32216,Southern,On Schedule,Florida,8,1,38
Corporate,Technology,Phone and Fax,Jacksonville,11-Dec-21,32216,Southern,On Schedule,Florida,7,2,47
Corporate,Technology,Phone and Fax,Jacksonville,13-May-20,32216,Southern,Early Delivery,Florida,16,1,416
Corporate,Technology,Phone and Fax,Jacksonville,31-Mar-19,32216,Southern,Early Delivery,Florida,8,1,295
Home Office,Technology,Phone and Fax,Jacksonville,7-Apr-21,32216,Southern,Early Delivery,Florida,11,3,21
Home Office,Technology,Phone and Fax,Jacksonville,9-Nov-21,32216,Southern,Early Delivery,Florida,2,5,5
Home Office,Technology,Printers,Jacksonville,18-Mar-18,32216,Southern,Early Delivery,Florida,4,2,3
Home Office,Technology,Printers,Jacksonville,18-Mar-18,32216,Southern,Early Delivery,Florida,5,2,10
Consumer,Office Supplies,Printing Paper,Jacksonville,9-Apr-21,32216,Southern,Late Delivery,Florida,2,2,15
Consumer,Office Supplies,Printing Paper,Jacksonville,20-Oct-21,32216,Southern,On Schedule,Florida,-25,2,43
Consumer,Office Supplies,Printing Paper,Jacksonville,7-Jul-20,32216,Southern,On Schedule,Florida,2,2,6
Consumer,Office Supplies,Printing Paper,Jacksonville,6-Jun-18,32216,Southern,On Schedule,Florida,-4,3,8
Consumer,Office Supplies,Printing Paper,Jacksonville,30-Dec-20,32216,Southern,On Schedule,Florida,2,3,6
Corporate,Office Supplies,Printing Paper,Jacksonville,5-Nov-20,32216,Southern,Late Delivery,Florida,7,3,8
Corporate,Office Supplies,Printing Paper,Jacksonville,5-Nov-20,32216,Southern,Late Delivery,Florida,-5,3,105
Corporate,Office Supplies,Printing Paper,Jacksonville,28-Sep-21,32216,Southern,Early Delivery,Florida,24,4,6
Corporate,Office Supplies,Printing Paper,Jacksonville,13-May-20,32216,Southern,Early Delivery,Florida,41,4,375
Home Office,Office Supplies,Printing Paper,Jacksonville,24-Nov-20,32216,Southern,Early Delivery,Florida,29,5,14
Home Office,Office Supplies,Printing Paper,Jacksonville,18-Mar-18,32216,Southern,Early Delivery,Florida,19,5,265
Home Office,Office Supplies,Printing Paper,Jacksonville,14-Mar-18,32216,Southern,Early Delivery,Florida,2,5,465
Corporate,Office Furniture,Standard Desks,Jacksonville,17-Sep-20,32216,Southern,Early Delivery,Florida,10,4,82
Consumer,Office Furniture,Standard Desks,Jacksonville,1-May-21,32216,Southern,Early Delivery,Florida,13,9,94
Corporate,Office Furniture,Standard Desks,Jacksonville,11-Dec-21,32216,Southern,On Schedule,Florida,12,3,378
Consumer,Office Supplies,Stationary Supplies,Jacksonville,1-May-21,32216,Southern,Early Delivery,Florida,-1,3,138
Consumer,Office Supplies,Storage and Archive,Jacksonville,20-Oct-21,32216,Southern,On Schedule,Florida,6,1,12
Consumer,Office Supplies,Storage and Archive,Jacksonville,10-Oct-19,32216,Southern,Early Delivery,Florida,4,2,4
Corporate,Office Supplies,Storage and Archive,Jacksonville,24-Apr-21,32216,Southern,On Schedule,Florida,6,2,12
Corporate,Office Supplies,Storage and Archive,Jacksonville,10-Jun-21,32216,Southern,Early Delivery,Florida,16,2,4
Consumer,Office Furniture,Storage Cabinets,Jacksonville,8-Aug-18,32216,Southern,Early Delivery,Florida,22,4,12
Corporate,Office Supplies,Artwork and Statues,Tallahassee,27-Oct-21,32303,Southern,On Schedule,Florida,18,3,44
Home Office,Technology,Cables and Connectors,Tallahassee,25-Sep-20,32303,Southern,Early Delivery,Florida,4,1,13
Corporate,Office Furniture,Computer Chairs,Tallahassee,27-May-20,32303,Southern,On Schedule,Florida,9,2,8
Consumer,Office Furniture,Corner Desks,Tallahassee,23-Aug-21,32303,Southern,On Schedule,Florida,9,3,33
Consumer,Office Supplies,Folders,Tallahassee,4-Dec-19,32303,Southern,Early Delivery,Florida,9,2,181
Corporate,Office Supplies,Folders,Tallahassee,27-Oct-21,32303,Southern,On Schedule,Florida,42,3,17
Consumer,Office Supplies,Kitchen Appliances,Tallahassee,23-Aug-21,32303,Southern,On Schedule,Florida,78,3,17
Consumer,Technology,Phone and Fax,Tallahassee,23-Aug-21,32303,Southern,On Schedule,Florida,75,6,61
Consumer,Technology,Phone and Fax,Tallahassee,14-Aug-20,32303,Southern,Early Delivery,Florida,9,8,96
Home Office,Technology,Phone and Fax,Tallahassee,4-May-20,32303,Southern,Early Delivery,Florida,4,3,14
Consumer,Technology,Printers,Tallahassee,8-Jun-20,32303,Southern,Late Delivery,Florida,7,2,12
Consumer,Office Supplies,Printing Paper,Tallahassee,23-Aug-21,32303,Southern,On Schedule,Florida,6,3,11
Consumer,Office Supplies,Printing Paper,Tallahassee,23-Aug-21,32303,Southern,On Schedule,Florida,2,3,13
Consumer,Office Supplies,Printing Paper,Tallahassee,12-Nov-21,32303,Southern,Early Delivery,Florida,1,3,22
Corporate,Office Supplies,Printing Paper,Tallahassee,27-Oct-21,32303,Southern,On Schedule,Florida,305,4,9
Corporate,Office Supplies,Printing Paper,Tallahassee,27-May-20,32303,Southern,On Schedule,Florida,77,5,11
Home Office,Office Supplies,Printing Paper,Tallahassee,4-May-20,32303,Southern,Early Delivery,Florida,69,5,86
Consumer,Office Supplies,Folders,Pensacola,28-Jul-20,32503,Southern,Late Delivery,Florida,4,1,230
Consumer,Office Furniture,Corner Desks,Apopka,28-Jul-18,32712,Southern,On Schedule,Florida,19,3,67
Consumer,Office Supplies,Envelopes,Apopka,28-Jul-18,32712,Southern,On Schedule,Florida,47,10,129
Consumer,Office Supplies,Envelopes,Apopka,28-Jul-18,32712,Southern,On Schedule,Florida,4,11,31
Corporate,Office Supplies,Folders,Apopka,16-May-20,32712,Southern,Early Delivery,Florida,10,3,23
Corporate,Office Supplies,Folders,Apopka,16-May-20,32712,Southern,Early Delivery,Florida,6,3,17
Home Office,Office Supplies,Folders,Apopka,10-Nov-20,32712,Southern,Early Delivery,Florida,5,3,363
Home Office,Office Supplies,Kitchen Appliances,Apopka,10-Nov-20,32712,Southern,Early Delivery,Florida,100,2,1090
Home Office,Office Supplies,Artwork and Statues,Deltona,21-Oct-21,32725,Southern,Early Delivery,Florida,13,1,9
Consumer,Office Furniture,Computer Chairs,Deltona,14-Dec-18,32725,Southern,On Schedule,Florida,116,1,44
Corporate,Office Supplies,Folders,Deltona,1-Jul-18,32725,Southern,Early Delivery,Florida,5,3,9
Consumer,Technology,Phone and Fax,Deltona,21-Jun-19,32725,Southern,On Schedule,Florida,70,6,128
Corporate,Technology,Phone and Fax,Deltona,1-Jul-18,32725,Southern,Early Delivery,Florida,23,5,49
Home Office,Office Furniture,Corner Desks,Sanford,30-Apr-21,32771,Southern,Early Delivery,Florida,210,5,15
Home Office,Office Supplies,Folders,Sanford,30-Apr-21,32771,Southern,Early Delivery,Florida,2,4,13
Consumer,Office Supplies,Artwork and Statues,Orlando,3-Nov-21,32839,Southern,Early Delivery,Florida,6,2,17
Consumer,Technology,Cables and Connectors,Orlando,17-Sep-19,32839,Southern,On Schedule,Florida,24,5,17
Consumer,Office Supplies,Folders,Orlando,3-Nov-21,32839,Southern,Early Delivery,Florida,12,2,12
Corporate,Office Supplies,Folders,Orlando,30-Nov-18,32839,Southern,Early Delivery,Florida,24,3,6
Corporate,Technology,Phone and Fax,Orlando,19-Nov-20,32839,Southern,Early Delivery,Florida,6,8,26
Consumer,Technology,Printers,Orlando,3-Nov-21,32839,Southern,Early Delivery,Florida,9,2,6
Consumer,Office Supplies,Printing Paper,Orlando,3-Nov-21,32839,Southern,Early Delivery,Florida,-3,3,12
Consumer,Office Supplies,Printing Paper,Orlando,12-Aug-21,32839,Southern,Early Delivery,Florida,1,3,19
Corporate,Office Supplies,Printing Paper,Orlando,5-Jun-21,32839,Southern,Early Delivery,Florida,18,4,15
Corporate,Office Supplies,Storage and Archive,Orlando,19-Nov-20,32839,Southern,Early Delivery,Florida,81,2,13
Corporate,Office Furniture,Storage Cabinets,Orlando,19-Nov-20,32839,Southern,Early Delivery,Florida,3,7,16
Corporate,Office Supplies,Storage and Archive,Melbourne,19-Sep-21,32935,Southern,Early Delivery,Florida,6,7,22
Consumer,Office Supplies,Artwork and Statues,Hialeah,30-Sep-20,33012,Southern,Late Delivery,Florida,-63,2,17
Corporate,Office Furniture,Computer Chairs,Hialeah,16-Dec-18,33012,Southern,Late Delivery,Florida,16,2,18
Consumer,Office Furniture,Corner Desks,Hialeah,25-Dec-21,33012,Southern,Late Delivery,Florida,5,3,18
Consumer,Office Furniture,Corner Desks,Hialeah,15-Oct-18,33012,Southern,Early Delivery,Florida,21,4,20
Corporate,Office Supplies,Envelopes,Hialeah,16-Dec-18,33012,Southern,Late Delivery,Florida,3,1,106
Home Office,Office Supplies,Envelopes,Hialeah,13-May-18,33012,Southern,Late Delivery,Florida,25,1,15
Consumer,Office Supplies,Folders,Hialeah,30-Sep-20,33012,Southern,Late Delivery,Florida,-3,2,63
Home Office,Office Supplies,Folders,Hialeah,13-May-18,33012,Southern,Late Delivery,Florida,7,3,535
Consumer,Office Supplies,Kitchen Appliances,Hialeah,3-Oct-21,33012,Southern,On Schedule,Florida,4,1,243
Home Office,Office Supplies,Kitchen Appliances,Hialeah,23-Nov-20,33012,Southern,On Schedule,Florida,22,2,41
Home Office,Technology,Phone and Fax,Hialeah,8-Sep-21,33012,Southern,On Schedule,Florida,31,2,37
Consumer,Technology,Printers,Hialeah,25-Dec-21,33012,Southern,Late Delivery,Florida,27,2,30
Consumer,Technology,Printers,Hialeah,22-Nov-19,33012,Southern,On Schedule,Florida,7,2,79
Consumer,Office Supplies,Printing Paper,Hialeah,3-Oct-21,33012,Southern,On Schedule,Florida,-101,3,30
Home Office,Office Supplies,Printing Paper,Hialeah,23-Nov-20,33012,Southern,On Schedule,Florida,23,5,896
Corporate,Office Supplies,Stationary Supplies,Hialeah,6-Jul-20,33012,Southern,Early Delivery,Florida,4,2,37
Home Office,Office Supplies,Storage and Archive,Hialeah,8-Sep-21,33012,Southern,On Schedule,Florida,15,2,47
Home Office,Office Furniture,Storage Cabinets,Hialeah,23-Nov-20,33012,Southern,On Schedule,Florida,187,3,12
Consumer,Office Furniture,Corner Desks,Hollywood,28-Sep-18,33021,Southern,Early Delivery,Florida,12,7,46
Home Office,Office Supplies,Folders,Hollywood,10-Nov-21,33021,Southern,Late Delivery,Florida,9,3,33
Home Office,Office Supplies,Folders,Hollywood,24-Sep-21,33021,Southern,Early Delivery,Florida,2,3,28
Consumer,Office Supplies,Kitchen Appliances,Hollywood,15-Aug-18,33021,Southern,Late Delivery,Florida,12,2,221
Corporate,Office Supplies,Label Maker Tape,Hollywood,26-Aug-20,33021,Southern,On Schedule,Florida,28,2,541
Home Office,Technology,Phone and Fax,Hollywood,24-Sep-21,33021,Southern,Early Delivery,Florida,4,8,272
Consumer,Office Supplies,Printing Paper,Hollywood,15-Aug-18,33021,Southern,Late Delivery,Florida,1,2,29
Consumer,Office Supplies,Printing Paper,Hollywood,30-Oct-20,33021,Southern,Late Delivery,Florida,18,3,9
Consumer,Office Supplies,Printing Paper,Hollywood,2-Jul-19,33021,Southern,Late Delivery,Florida,-9,3,58
Consumer,Office Supplies,Printing Paper,Hollywood,2-Jul-19,33021,Southern,Late Delivery,Florida,-58,3,10
Consumer,Office Supplies,Storage and Archive,Hollywood,22-Oct-19,33021,Southern,Late Delivery,Florida,4,2,65
Home Office,Office Furniture,Computer Chairs,Miramar,26-Sep-21,33023,Southern,Early Delivery,Florida,1,3,26
Consumer,Office Furniture,Corner Desks,Miramar,15-Nov-21,33023,Southern,Early Delivery,Florida,735,7,24
Consumer,Office Furniture,Corner Desks,Miramar,15-Nov-21,33023,Southern,Early Delivery,Florida,27,8,84
Corporate,Office Supplies,Folders,Miramar,18-Nov-21,33023,Southern,Late Delivery,Florida,2,3,55
Corporate,Office Supplies,Kitchen Appliances,Miramar,18-Nov-21,33023,Southern,Late Delivery,Florida,9,1,19
Corporate,Office Supplies,Printing Paper,Miramar,18-Nov-21,33023,Southern,Late Delivery,Florida,8,4,30
Corporate,Office Supplies,Printing Paper,Miramar,18-Nov-21,33023,Southern,Late Delivery,Florida,22,4,9450
Corporate,Office Supplies,Storage and Archive,Miramar,18-Nov-21,33023,Southern,Late Delivery,Florida,0,2,11
Consumer,Technology,Cables and Connectors,Pembroke Pines,27-Nov-19,33024,Southern,Early Delivery,Florida,5,2,14
Consumer,Technology,Cables and Connectors,Pembroke Pines,3-Jun-21,33024,Southern,Late Delivery,Florida,11,2,32
Consumer,Technology,Cables and Connectors,Pembroke Pines,3-Jun-21,33024,Southern,Late Delivery,Florida,80,3,33
Consumer,Office Supplies,Folders,Pembroke Pines,2-Feb-21,33024,Southern,Early Delivery,Florida,6,2,277
Consumer,Office Supplies,Folders,Pembroke Pines,3-Jun-21,33024,Southern,Late Delivery,Florida,2,2,45
Consumer,Office Supplies,Folders,Pembroke Pines,21-Sep-20,33024,Southern,Early Delivery,Florida,5,2,280
Consumer,Office Supplies,Kitchen Appliances,Pembroke Pines,3-Jun-21,33024,Southern,Late Delivery,Florida,13,5,32
Consumer,Office Supplies,Kitchen Appliances,Pembroke Pines,3-Jun-21,33024,Southern,Late Delivery,Florida,14,1,32
Consumer,Office Supplies,Label Maker Tape,Pembroke Pines,21-Sep-20,33024,Southern,Early Delivery,Florida,-1049,5,966
Consumer,Technology,Phone and Fax,Pembroke Pines,3-Jun-21,33024,Southern,Late Delivery,Florida,1,7,52
Consumer,Office Supplies,Printing Paper,Pembroke Pines,3-Jun-21,33024,Southern,Late Delivery,Florida,10,3,405
Consumer,Office Supplies,Printing Paper,Pembroke Pines,2-Feb-21,33024,Southern,Early Delivery,Florida,6,3,55
Consumer,Office Furniture,Standard Desks,Pembroke Pines,27-Nov-19,33024,Southern,Early Delivery,Florida,4,3,472
Consumer,Office Furniture,Storage Cabinets,Pembroke Pines,3-Jun-21,33024,Southern,Late Delivery,Florida,6,4,246
Consumer,Office Supplies,Printing Paper,Homestead,18-Nov-21,33030,Southern,Early Delivery,Florida,17,3,20
Consumer,Office Supplies,Stationary Supplies,Homestead,18-Nov-21,33030,Southern,Early Delivery,Florida,2,3,126
Consumer,Office Supplies,Storage and Archive,Homestead,10-Dec-20,33030,Southern,On Schedule,Florida,3,1,404
Consumer,Office Supplies,Artwork and Statues,Margate,4-Mar-18,33063,Southern,Early Delivery,Florida,-20,3,36
Corporate,Office Furniture,Corner Desks,Coral Springs,15-Sep-19,33065,Southern,On Schedule,Florida,44,2,70
Corporate,Office Furniture,Corner Desks,Coral Springs,15-Sep-19,33065,Southern,On Schedule,Florida,87,2,36
Consumer,Office Supplies,Kitchen Appliances,Coral Springs,5-Nov-19,33065,Southern,Early Delivery,Florida,2,1,373
Corporate,Office Supplies,Kitchen Appliances,Coral Springs,24-Mar-19,33065,Southern,On Schedule,Florida,10,2,61
Consumer,Office Supplies,Label Maker Tape,Coral Springs,1-May-21,33065,Southern,On Schedule,Florida,21,2,182
Corporate,Office Supplies,Printing Paper,Coral Springs,15-Sep-19,33065,Southern,On Schedule,Florida,9,4,147
Corporate,Office Supplies,Storage and Archive,Coral Springs,15-Sep-19,33065,Southern,On Schedule,Florida,1,2,29
Consumer,Office Furniture,Storage Cabinets,Coral Springs,1-May-21,33065,Southern,On Schedule,Florida,121,4,20
Corporate,Technology,Cables and Connectors,Pompano Beach,30-Apr-21,33068,Southern,Early Delivery,Florida,3,4,64
Corporate,Office Furniture,Corner Desks,Pompano Beach,30-Apr-21,33068,Southern,Early Delivery,Florida,-1,3,36
Corporate,Office Supplies,Kitchen Appliances,Pompano Beach,21-Mar-21,33068,Southern,On Schedule,Florida,12,2,47
Corporate,Office Furniture,Corner Desks,Coral Gables,3-Oct-20,33134,Southern,Early Delivery,Florida,4,2,497
Corporate,Technology,Phone and Fax,Coral Gables,3-Oct-20,33134,Southern,Early Delivery,Florida,24,6,21
Consumer,Office Furniture,Computer Chairs,Miami,6-Jul-21,33142,Southern,On Schedule,Florida,38,8,91
Consumer,Office Furniture,Computer Chairs,Miami,29-Jan-21,33142,Southern,Early Delivery,Florida,210,1,52
Consumer,Office Furniture,Corner Desks,Miami,7-Mar-20,33142,Southern,Early Delivery,Florida,286,5,639
Consumer,Office Supplies,Folders,Miami,21-Sep-21,33142,Southern,On Schedule,Florida,3,2,57
Corporate,Office Supplies,Folders,Miami,7-Nov-19,33142,Southern,Early Delivery,Florida,8,3,133
Corporate,Office Supplies,Folders,Miami,7-Nov-19,33142,Southern,Early Delivery,Florida,1,3,22
Home Office,Office Supplies,Folders,Miami,25-Nov-20,33142,Southern,Late Delivery,Florida,53,3,53
Home Office,Office Supplies,Label Maker Tape,Miami,20-Dec-19,33142,Southern,Early Delivery,Florida,157,7,207
Consumer,Technology,Phone and Fax,Miami,7-Mar-20,33142,Southern,Early Delivery,Florida,3,7,9893
Corporate,Office Supplies,Printing Paper,Miami,25-Aug-20,33142,Southern,Late Delivery,Florida,83,3,62
Corporate,Office Supplies,Printing Paper,Miami,26-Mar-19,33142,Southern,Early Delivery,Florida,33,4,283
